Region,District,Map_link
Arusha,Arumeru District council,https://drive.google.com/file/d/1FDMH8-Cz5PEeh8j34v8YZ_7ZWfQ48XdN/view?usp=drive_link
Arusha,Arusha City Council,https://drive.google.com/file/d/1mFsNOS8GwWnVpzpPL5uHvFwDi0EjIe1K/view?usp=drive_link
Arusha,Arusha District council,https://drive.google.com/file/d/1KZRMegr1DQdepdl8TqtVPgL1VRO7V8lU/view?usp=drive_link
Arusha,Karatu District council,https://drive.google.com/file/d/1r3aj11ByWxj-nRbLUBqmYYotrHIl1jff/view?usp=drive_link
Arusha,Longido District council,https://drive.google.com/file/d/1-4lkygWMnfBUAKQ5KmazZFJJQQH9vR95/view?usp=drive_link
Arusha,Monduli District council,https://drive.google.com/file/d/1AgZAxupCQ-7j3kASlAcnonhqArlrCNHl/view?usp=drive_link
Arusha,Ngorongoro District council,https://drive.google.com/file/d/1s1ztJzRMQMY-64Mfw17159zyUFcPfa6U/view?usp=drive_link
Dar es Salaam,Ilala Municipal council,https://drive.google.com/file/d/1G0tS6-0CIgK_Gw4FhuoX_cM4lwvoJPWA/view?usp=drive_link
Dar es Salaam,Kigamboni Municipal council,https://drive.google.com/file/d/1j8CmQvsP82fuF1jIk5oPd1S5VAZIq5KG/view?usp=drive_link
Dar es Salaam,Kinondoni Municipal council,https://drive.google.com/file/d/14JehyITLivc2wNTojD5AlqxNtkhYDbe9/view?usp=drive_link
Dar es Salaam,Temeke Municipal council,https://drive.google.com/file/d/10m4yyToVDAUdkKo5K65ZCZfLc121Z_bw/view?usp=drive_link
Dar es Salaam,Ubungo Municipal council,https://drive.google.com/file/d/1RDnkAr22En4qeeUo-yk9MKGH1wOnonob/view?usp=drive_link
Dodoma,Bahi District council,https://drive.google.com/file/d/1g6X2NtCOP5qFHkZLSlvwx5fI2dcnt7uF/view?usp=drive_link
Dodoma,Chamwino District council,https://drive.google.com/file/d/15O2LwYeDZ9dQl60REt2wdMdtZbYnuuDV/view?usp=drive_link
Dodoma,Chemba District council,https://drive.google.com/file/d/1hO2AXdbIje3LMrabG82qo9pszEAz2Bqw/view?usp=drive_link
Dodoma,Dodoma City Council,https://drive.google.com/file/d/1w2eRTsfw0PbsGEqB8Q5vHSqjBdk_iXwA/view?usp=drive_link
Dodoma,Kondoa District council,https://drive.google.com/file/d/1gXtY00aZ8wI_cgn44gfj2odF_bzDoKUg/view?usp=drive_link
Dodoma,Kondoa Town council,https://drive.google.com/file/d/1CZvdPOMKVJm2mk-QPC9c0rrGTgjTH8HF/view?usp=drive_link
Dodoma,Kongwa District council,https://drive.google.com/file/d/1Bf5rTUK-Hn2CWX7l9KbdIM5wFPjRFNxN/view?usp=drive_link
Dodoma,Mpwapwa District council,https://drive.google.com/file/d/18Uot2mZb6MBxuFU2WM8zvau0RQDTUc6Q/view?usp=drive_link
Geita,Bukombe District council,https://drive.google.com/file/d/1D1wP986Us9Tw_NPfZphZh80c_plnAxrv/view?usp=drive_link
Geita,Chato District council,https://drive.google.com/file/d/149YACcqPzVnX0PSVFSfHbf6MOULE1iTL/view?usp=drive_link
Geita,Geita District council,https://drive.google.com/file/d/1SAHo1-Nr3ZRylgGPwza-FzHMKp-XMi5U/view?usp=drive_link
Geita,Geita Town council,https://drive.google.com/file/d/1gXXuSscb42JrsbWnh8XXDBdgd4tbX6pH/view?usp=drive_link
Geita,Mbogwe District council,https://drive.google.com/file/d/1QtOmB8zY_KrkLY9lMwkoCfSHufM0hzkw/view?usp=drive_link
Geita,Nyang'hwale District council,https://drive.google.com/file/d/1Z-QKVL5cyi_U0OmRqCrm_lhwKGIQBYsw/view?usp=drive_link
Iringa,Iringa District council,https://drive.google.com/file/d/1TVAgA8h5XV5ISWeF2Vye1pELJ4JU293-/view?usp=drive_link
Iringa,Iringa Municipal council,https://drive.google.com/file/d/1ojPiAQgIGKuKZhJz9SZFHtY2WJ-BJtPZ/view?usp=drive_link
Iringa,Kilolo District council,https://drive.google.com/file/d/1FY_06Rt_RExf-yPmH_Khg318Ve2ctEvR/view?usp=drive_link
Iringa,Mafinga Town council,https://drive.google.com/file/d/1ngTvKD08xvL3hxjng7a__ThvConHlpko/view?usp=drive_link
Iringa,Mufindi District council,https://drive.google.com/file/d/19Gs49Sx2pafHhhsiE_DulXKmyWpEo5_p/view?usp=drive_link
Kagera,Biharamulo District council,https://drive.google.com/file/d/1vDiE9lNv_MYglSL8EIaRQmotuln3QsIk/view?usp=drive_link
Kagera,Bukoba District council,https://drive.google.com/file/d/1EaiOCPs1-gznRGVMM5I-op2z2OFm4AG3/view?usp=drive_link
Kagera,Bukoba Municipal council,https://drive.google.com/file/d/1r5IT7MRRn8RLRLfMFGiH9nOfGurToKVJ/view?usp=drive_link
Kagera,Karagwe District council,https://drive.google.com/file/d/1HeZwZAs87N0vyGxF-7PJ76yw_EWi3gzj/view?usp=drive_link
Kagera,Kyerwa District council,https://drive.google.com/file/d/1ZQnrRji9RfGr6Wut2FLk5JNmPSITIaLQ/view?usp=drive_link
Kagera,Missenyi District council,https://drive.google.com/file/d/1IjbB5HBymDbBj69Jb5-SPfi9UyGFdXPa/view?usp=drive_link
Kagera,Muleba District council,https://drive.google.com/file/d/1iZD8kT8os3wm7t19YZn8lsjyXOMhfkCv/view?usp=drive_link
Kagera,Ngara District council,https://drive.google.com/file/d/1g6r2YRpnEWTzU6DG8tIwzpQQCRVS13Tt/view?usp=drive_link
Kaskazini Unguja,Kaskazini A,https://drive.google.com/file/d/1mpI1c4TPockDO-UpFGrVFFqL-Jaqf6PG/view?usp=drive_link
Kaskazini Unguja,Kaskazini B,https://drive.google.com/file/d/1EbuGM1f3Xow1W_hj3AW02ATWntxKCy5Z/view?usp=drive_link
Kaskazini Unguja,Micheweni,https://drive.google.com/file/d/1HUgSAdxYxps64umLIaz8_DelzdosRqQK/view?usp=drive_link
Kaskazini Unguja,Wete,https://drive.google.com/file/d/1YdP_5DKldDgOFKh_6xFZfaqjNd2iU2Ku/view?usp=drive_link
Katavi,Mlele District council,https://drive.google.com/file/d/1JWXwWNJ_f5JPUI4BDcH9ODtuJ1MOT5Wk/view?usp=drive_link
Katavi,Mpanda District council,https://drive.google.com/file/d/1DpC7l1E_g-Y2fQWYzjn6TP2QlHQsgbmJ/view?usp=drive_link
Katavi,Mpanda Municipal council,https://drive.google.com/file/d/1TwFywtyAuQ3_TBdax-69iaQkungdunCC/view?usp=drive_link
Katavi,Mpimbwe District council,https://drive.google.com/file/d/1dfja5NBygFPmQU3NChTtffdQAWFKgS3-/view?usp=drive_link
Katavi,Nsimbo District council,https://drive.google.com/file/d/12kAT0R19uU_2FLDLe3zuylZSwnrMtiwk/view?usp=drive_link
Kigoma,Buhigwe District council,https://drive.google.com/file/d/15XgCibfm8bJ1NViGmUaRRq5Z1wkNm5dp/view?usp=drive_link
Kigoma,Kakonko District council,https://drive.google.com/file/d/1CWTIH60UWoJLIfKLuicn78lWXnC_sZQT/view?usp=drive_link
Kigoma,Kasulu District council,https://drive.google.com/file/d/1nF7RKRbyrPwdpJ40C0UijRLRMqzs4nN7/view?usp=drive_link
Kigoma,Kasulu Town council,https://drive.google.com/file/d/154T26cUCrF_dSMZ9pTq_im1fO_uEXSqV/view?usp=drive_link
Kigoma,Kibondo District council,https://drive.google.com/file/d/12Yufh4D2xta6oX7k02fhCX-jYLlFLlda/view?usp=drive_link
Kigoma,Kigoma District council,https://drive.google.com/file/d/1B70kpErJtM4SMg4keiHPGTQQodUTYTUE/view?usp=drive_link
Kigoma,Kigoma Ujiji Municipal council,https://drive.google.com/file/d/1pTFRe_JmQzx3as55cDch8LN4MBuuOkEV/view?usp=drive_link
Kigoma,Uvinza District council,https://drive.google.com/file/d/1V4T7Rz1TcWycGQ9utAspT2bxFjxMgOcH/view?usp=drive_link
Kilimanjaro,Hai District council,https://drive.google.com/file/d/1D0JaSZUQeiS0jNPVomWFSG3_8Oekm2Ls/view?usp=drive_link
Kilimanjaro,Moshi District council,https://drive.google.com/file/d/1t4KtgW9eAAe_t6n3WgrJBSkP_a3lUhKh/view?usp=drive_link
Kilimanjaro,Moshi Municipal council,https://drive.google.com/file/d/1SA4E_I1AKWTwMRZZ3jQhC1rNFxKC3hSS/view?usp=drive_link
Kilimanjaro,Mwanga District council,https://drive.google.com/file/d/1JomfwVcoX_6JJjEIsZelD18g91yGju8g/view?usp=drive_link
Kilimanjaro,Rombo District council,https://drive.google.com/file/d/1sD0dwFEdjFHY9ljReakN2uh562GYy5eW/view?usp=drive_link
Kilimanjaro,Same District council,https://drive.google.com/file/d/15Ap-lWrmkRt7aD3JyMI2_xDh1kfhW-jU/view?usp=drive_link
Kilimanjaro,Siha District council,https://drive.google.com/file/d/19EG3Q2Alpp3v2SKumuYKwSuO4htJwYxv/view?usp=drive_link
Kusini Pemba,Chake Chake,https://drive.google.com/file/d/1qJgtZ1IAT3ZNq-ieRUrjc-V7R_O1vFm6/view?usp=drive_link
Kusini Pemba,Mkoani,https://drive.google.com/file/d/1VV748e6SwdB5Q2cZLUAg_T2HHKHDNJqf/view?usp=drive_link
Kusini Unguja,Kati,https://drive.google.com/file/d/1i89QBXvpVY6uWCuc4aHlm4AViuTT2y0L/view?usp=drive_link
Kusini Unguja,Kusini,https://drive.google.com/file/d/1b9FdrONQilinpIDm6U8MJ57qvPHB9siT/view?usp=drive_link
Lindi,Kilwa District council,https://drive.google.com/file/d/1gQ4S4IKdEdn7OdXOJlTh8H_LWqUvZdIn/view?usp=drive_link
Lindi,Lindi District council,https://drive.google.com/file/d/1XNh4OorjUNSUquL8rH5B23QfHFR-0uMY/view?usp=drive_link
Lindi,Lindi Municipal council,https://drive.google.com/file/d/1lGIemwZupU-Klo73CaEsdYIUzyv4YkwX/view?usp=drive_link
Lindi,Liwale District council,https://drive.google.com/file/d/1DVyNE23bk1P1CYZ-uuH2dY_t6_5z4Aok/view?usp=drive_link
Lindi,Nachingwea District council,https://drive.google.com/file/d/1WH0iD0X1Kc-jA0OERNaErUp3aGTn8FWm/view?usp=drive_link
Lindi,Ruangwa District council,https://drive.google.com/file/d/13-2b3HeeIGY6i1jlgiiQyiVbTdRfAbqX/view?usp=drive_link
Manyara,Babati District council,https://drive.google.com/file/d/1-0fTLwAR4dVz-9U-gd-v60Vk6EjtYpXC/view?usp=drive_link
Manyara,Babati Town council,https://drive.google.com/file/d/1RCECHRIPFGkTlsoePBv7-YjwUhqaNSS9/view?usp=drive_link
Manyara,Hanang District council,https://drive.google.com/file/d/1zd1nupO-2klhCHP9Tf2surehXtPP9Elm/view?usp=drive_link
Manyara,Kiteto District council,https://drive.google.com/file/d/1vjUx1flKPLgCiwm-2wEGIXC3Cc_LIy9b/view?usp=drive_link
Manyara,Mbulu District council,https://drive.google.com/file/d/12t1ypOb3t2Xgy8yLJbDHz_Yg08cgGeO8/view?usp=drive_link
Manyara,Mbulu Town council,https://drive.google.com/file/d/1436YGdonb2Prdd5eImHTiIuGQ56leIRU/view?usp=drive_link
Manyara,Simanjiro District council,https://drive.google.com/file/d/1QM003ts-Ts9Ooon5B197jEoKVZyF-yQX/view?usp=drive_link
Mara,Bunda District council,https://drive.google.com/file/d/1v3oFq_cXFdn-cyZiOkuN7eRsN9tccWGa/view?usp=drive_link
Mara,Bunda Town council,https://drive.google.com/file/d/1rZYHHOz1I-bZCO2Gf4Aug59yAXmZX-A2/view?usp=drive_link
Mara,Butiama District council,https://drive.google.com/file/d/1_xh8RZSUAT527JnXS_ad5znTrq187CsH/view?usp=drive_link
Mara,Musoma District council,https://drive.google.com/file/d/12ob698GfLmum6vT3p556u2cBQnO6fC7G/view?usp=drive_link
Mara,Musoma Municipal council,https://drive.google.com/file/d/14LTQdB4CuZFNA8zp1gixnpqEUodzjiuE/view?usp=drive_link
Mara,Rorya District council,https://drive.google.com/file/d/1T2EsdQWc3bvfr6DWToBPS1SSpQfMSte2/view?usp=drive_link
Mara,Serengeti District council,https://drive.google.com/file/d/1u2vX8loaH4NjvOtK5MTER0JQqKCE_CCL/view?usp=drive_link
Mara,Tarime District council,https://drive.google.com/file/d/1HSWaA54kEKM0mxgxUMWybCBkI7vN84Bc/view?usp=drive_link
Mara,Tarime Town council,https://drive.google.com/file/d/1XWIfbuoI-iYDlZ4G82Spkdq-sAs8-SVA/view?usp=drive_link
Mbeya,Busokelo District council,https://drive.google.com/file/d/1EalynHJUdAa5H6-_USpMi88-DLxIvS0Y/view?usp=drive_link
Mbeya,Chunya District council,https://drive.google.com/file/d/14Zd0lIYus_Y5OpaPrV3uvYCVpfqiZ3px/view?usp=drive_link
Mbeya,Kyela District council,https://drive.google.com/file/d/1lA__AO8T2mcJYTwZktoYfMVM3ceowJGP/view?usp=drive_link
Mbeya,Mbarali District council,https://drive.google.com/file/d/19hrzYANN0Pw_xWI6J6EFyLqJsA0mjZdW/view?usp=drive_link
Mbeya,Mbeya City Council,https://drive.google.com/file/d/1iQfOxbTyLrrxVYU1gB_ZWJ4wkr43o6GD/view?usp=drive_link
Mbeya,Mbeya District council,https://drive.google.com/file/d/1HJULiUwc-3nMy6WuCyKN_cTFUB5VfhhL/view?usp=drive_link
Mbeya,Rungwe District council,https://drive.google.com/file/d/16E5YOp3Z63bDZdYQ77JpJ8Tw0UNBwiSS/view?usp=drive_link
Mjini Magharibi Uguja,Magharibi A,https://drive.google.com/file/d/1iV1R99k8Xct6XqxO_R6ccDPSSUZAqQ9h/view?usp=drive_link
Mjini Magharibi Uguja,Magharibi B,https://drive.google.com/file/d/19jBDCaVrx4bF9GdiB_7D0UMIUPr7To8H/view?usp=drive_link
Mjini Magharibi Uguja,Mjini,https://drive.google.com/file/d/1Bz-BDLHQwqFZX5aXSZ5ORvPnEdH7q7Qf/view?usp=drive_link
Morogoro,Gairo District council,https://drive.google.com/file/d/1Hm-7G3nA4kw8VFJvoWOnF3BzoalMQZNh/view?usp=drive_link
Morogoro,Ifakara Town council,https://drive.google.com/file/d/1oylyrrr_7MlyBTjU_OJO2vkKbHzrSqq3/view?usp=drive_link
Morogoro,Kilombero District council,https://drive.google.com/file/d/1TKolKklLc9Ctw8rTO-aLzaA9ol8sFFyd/view?usp=drive_link
Morogoro,Kilosa District council,https://drive.google.com/file/d/1-Lf1HhzWU8rmY34Ndiv2F_MY5Y6hA8oG/view?usp=drive_link
Morogoro,Malinyi District council,https://drive.google.com/file/d/1ZS1F2Doob2qKKNTDVCNoGCWJy9g3FUHi/view?usp=drive_link
Morogoro,Morogoro District council,https://drive.google.com/file/d/1SW1t-p13fP0A-4m0EdLQmqMYKc3opS0a/view?usp=drive_link
Morogoro,Morogoro Municipal council,https://drive.google.com/file/d/1ZZEh5FwEJD2mC1LI6SVCEHeL8Ai2_Val/view?usp=drive_link
Morogoro,Mvomero District council,https://drive.google.com/file/d/1sDxkg8KumDeuiIgY7VktV6LD0XtuvNg4/view?usp=drive_link
Morogoro,Ulanga District council,https://drive.google.com/file/d/1lYqw9diaSd0QEG0Rln1TD4UCAlD1CcQT/view?usp=drive_link
Mtwara,Masasi District council,https://drive.google.com/file/d/13duFPz8EVtiXojsgEKEGchDNNfr_WCtx/view?usp=drive_link
Mtwara,Masasi Town council,https://drive.google.com/file/d/1AlKgUP9bMiHhGszBwt6VuQarY8aahAGz/view?usp=drive_link
Mtwara,Mtwara District council,https://drive.google.com/file/d/11E9gzFu6WMQkVYcf5ju4AYx8lpu8XKXA/view?usp=drive_link
Mtwara,Mtwara Mikindani Town council,https://drive.google.com/file/d/1Emiy_yn27RNA8AIA_u5GgMkfZVenDKoR/view?usp=drive_link
Mtwara,Nanyamba Town council,https://drive.google.com/file/d/1xJXWcQ8EJSnWf8rSS9iAzbjqRbWPu5dQ/view?usp=drive_link
Mtwara,Nanyumbu District council,https://drive.google.com/file/d/1CG5xkdYFRpEEvJE4GH6VRHW6526lDOsk/view?usp=drive_link
Mtwara,Newala District council,https://drive.google.com/file/d/1wVupU6-SCdXfhkiF5eJ7R6YYVbUOUKiW/view?usp=drive_link
Mtwara,Newala Town council,https://drive.google.com/file/d/1UhEJ2zV9QMg50HU1OGK14O6R_GFvTou1/view?usp=drive_link
Mtwara,Tandahimba District council,https://drive.google.com/file/d/1X-r_TINRrUjhfGSll24Obz2Fs8QLNsoW/view?usp=drive_link
Mwanza,Buchosa District council,https://drive.google.com/file/d/1YEmEBCcUpAdaUFFotePcAMr2hUU7R__i/view?usp=drive_link
Mwanza,Ilemela Municipal council,https://drive.google.com/file/d/1KyFgKZ7VNGnfeK1lprzGC7zGzYs6ujRo/view?usp=drive_link
Mwanza,Kwimba District council,https://drive.google.com/file/d/1FYOawN7t16WPftqHPAVI3-OM8gdC7lEZ/view?usp=drive_link
Mwanza,Magu District council,https://drive.google.com/file/d/1Rzec1FcMBtSQwaWUrB8nxYK_9D5gaXff/view?usp=drive_link
Mwanza,Misungwi District council,https://drive.google.com/file/d/1izN-3JqNu0bIV6vbvjiMu1cRz_lGUd1E/view?usp=drive_link
Mwanza,Mwanza City Council,https://drive.google.com/file/d/1xbPquxGL1FaPz-yp6On9akTSeHOI0ELO/view?usp=drive_link
Mwanza,Sengerema District council,https://drive.google.com/file/d/1RSXh2u9oSvNVf96UFeq4x4B-2WIRPqJs/view?usp=drive_link
Mwanza,Ukerewe District council,https://drive.google.com/file/d/1XXyglGeyrKhiDFToiRyjDhtlrOAYWjxI/view?usp=drive_link
Njombe,Ludewa District council,https://drive.google.com/file/d/1bUoLeSHRUgS8WLyNjtkAIPOjbtcq42TP/view?usp=drive_link
Njombe,Makambako Town council,https://drive.google.com/file/d/175JllNk7zvURI1PRnoBms5lvyEaFcuj3/view?usp=drive_link
Njombe,Makete District council,https://drive.google.com/file/d/1x7Aw_t_zoQo-Hyl9YMlRtl29RC3b6JSt/view?usp=drive_link
Njombe,Njombe District council,https://drive.google.com/file/d/1qvkxTqyIJ2QatqeaQ7ys1anMjEOOMmO1/view?usp=drive_link
Njombe,Njombe Town council,https://drive.google.com/file/d/10hNgYKZlzRtanagePyinj3yKkpuymrl9/view?usp=drive_link
Njombe,Wanging'ombe District council,https://drive.google.com/file/d/18tqGYFNoKa95a46uQjbSdRPrk1DKLZ8F/view?usp=drive_link
Pwani,Bagamoyo District council,https://drive.google.com/file/d/1fXhTU9kKa_zniCkvA7qFOAgGsIuvbw8t/view?usp=drive_link
Pwani,Chalinze District council,https://drive.google.com/file/d/18FsKFnCJWVDNM8nihFQRuDWfg_xATD-W/view?usp=drive_link
Pwani,Kibaha District council,https://drive.google.com/file/d/1b4s1mj1e_gjQ-NNXfIpwZgCwIJbalCTv/view?usp=drive_link
Pwani,Kibaha Town council,https://drive.google.com/file/d/1RYC4_bEljSoFYXIJX7nsMMoSDmAXPEn3/view?usp=drive_link
Pwani,Kibiti District council,https://drive.google.com/file/d/10DrA2hJ4nMj6jn2w_Zbcp0usSRsTfdMS/view?usp=drive_link
Pwani,Kisarawe District council,https://drive.google.com/file/d/1ZDF-TknLBk4WkD3-qxUQiInfZcC44bZz/view?usp=drive_link
Pwani,Mafia District council,https://drive.google.com/file/d/1S_60CfAX1XpbjNY374dPgH5RdBzt8ttb/view?usp=drive_link
Pwani,Mkuranga District council,https://drive.google.com/file/d/1hRajNOddIbwG6qr8T3h81w7EzhW4E-vp/view?usp=drive_link
Pwani,Rufiji District council,https://drive.google.com/file/d/1sgp5fsp8pV5ofBNArbGETP2e09Yuypqr/view?usp=drive_link
Rukwa,Kalambo District council,https://drive.google.com/file/d/1w4L7ulzA7t-A4Lzv0C0aRuyE3lvtCF97/view?usp=drive_link
Rukwa,Nkasi District council,https://drive.google.com/file/d/1nRysHXlt575BUWvUsgQT2STcuqxdUwY_/view?usp=drive_link
Rukwa,Sumbawanga District council,https://drive.google.com/file/d/1mnQA2HhCQf4W39vwXuH82uWIWH5TX4fm/view?usp=drive_link
Rukwa,Sumbawanga Municipal council,https://drive.google.com/file/d/1JkL7HpRJ50kHeIfpOAtPDE84C9q6jZlv/view?usp=drive_link
Ruvuma,Madaba District council,https://drive.google.com/file/d/1lUFfOQvK5XyKmW9ZEdnrvGcEdoe195bd/view?usp=drive_link
Ruvuma,Mbinga District council,https://drive.google.com/file/d/13NA1mx86dRaZyoawdEStwaFe-N7WdQ8z/view?usp=drive_link
Ruvuma,Mbinga Town council,https://drive.google.com/file/d/1wpuHRxBl84IPTeSsxuxCr0ak3E8S9HaA/view?usp=drive_link
Ruvuma,Namtumbo District council,https://drive.google.com/file/d/1KU3mfDiqIi0zqxOmfo7A80cAGxrHwLok/view?usp=drive_link
Ruvuma,Nyasa District council,https://drive.google.com/file/d/12Dj1A53hjpvNDnWIZDRlW7agzv4d0kmo/view?usp=drive_link
Ruvuma,Songea District council,https://drive.google.com/file/d/1bQwMC0OTzocTCbsxUm5XS9ZfD1Qi5l_Y/view?usp=drive_link
Ruvuma,Songea Municipal council,https://drive.google.com/file/d/1sA-QNel4E0ZqCQSdF1_UTui_rnwZmusZ/view?usp=drive_link
Ruvuma,Tunduru District council,https://drive.google.com/file/d/1NnL_gf7K0ubkhYmWOeBs-lnjRTm8qQRX/view?usp=drive_link
Shinyanga,Kahama Town council,https://drive.google.com/file/d/1jo2pXX3TLopRwzBNMfuvXbUhDTqnLaxj/view?usp=drive_link
Shinyanga,Kishapu District council,https://drive.google.com/file/d/1KgSYijP3PJunxj3AArh7LZIiKZNBsCSj/view?usp=drive_link
Shinyanga,Msalala District council,https://drive.google.com/file/d/1LEXKwRJ4dh1fGfdvP6Zx26wJoMwninB4/view?usp=drive_link
Shinyanga,Shinyanga District council,https://drive.google.com/file/d/1yEe64aWo_rEsHVTyngJG2oo7u-Mk7lc7/view?usp=drive_link
Shinyanga,Shinyanga Municipal council,https://drive.google.com/file/d/1zshijATVXlj1aJ1QfKfetvO3o_2S6gO8/view?usp=drive_link
Shinyanga,Ushetu District council,https://drive.google.com/file/d/1fa6MgtD6ugwQ7ZzGK-9A6J1MxF-Sg6jT/view?usp=drive_link
Simiyu,Bariadi District council,https://drive.google.com/file/d/1axcRj7ZV_0pMUjnG1V9YkwQhtI1dAApl/view?usp=drive_link
Simiyu,Bariadi Town council,https://drive.google.com/file/d/1zlBh9K5a4rzxEDhZZldYk-G-hvT_MUxu/view?usp=drive_link
Simiyu,Busega District council,https://drive.google.com/file/d/1_VSszH7SxgEe9o2QfYiWBQ4hDeAx7sDi/view?usp=drive_link
Simiyu,Itilima District council,https://drive.google.com/file/d/1Q451ebWUK7FbVpg1uoSum3cC14yvVVyR/view?usp=drive_link
Simiyu,Maswa District council,https://drive.google.com/file/d/1H_lFvEbLccOLDLJWKAca2L_xmdjzpTQ9/view?usp=drive_link
Simiyu,Meatu District council,https://drive.google.com/file/d/1DWmN4DU2wP3hJ4cAISmM7bzFSy3uhMxa/view?usp=drive_link
Singida,Ikungi District council,https://drive.google.com/file/d/1p7rF369G1zgshQSfjpCGCiP3CQaWLBYA/view?usp=drive_link
Singida,Iramba District council,https://drive.google.com/file/d/1hl2nbPkc8WC4O4ft_uaos76OHQjo-JQP/view?usp=drive_link
Singida,Itigi District council,https://drive.google.com/file/d/1hvpy-LYuxLotVTffdnpW05SPnqIo8TxM/view?usp=drive_link
Singida,Manyoni District council,https://drive.google.com/file/d/1MbDyUFLutty57WxAJrgCD9bOjxs-_Lem/view?usp=drive_link
Singida,Mkalama District council,https://drive.google.com/file/d/1P4Ic4WXCuC-U_tZQ-vUJOzXlpLCd8Nuw/view?usp=drive_link
Singida,Singida District council,https://drive.google.com/file/d/14YsnBHgpVfXzvkve7LumX-e4K0dbJi3-/view?usp=drive_link
Singida,Singida Municipal council,https://drive.google.com/file/d/1J7CmDoSqGNCY_aWsCMSqRFvKwWAN2j9e/view?usp=drive_link
Songwe,Ileje District council,https://drive.google.com/file/d/1IxzrbVbgNeJ7ZD0OPbYTwUMVDnLQ7I3C/view?usp=drive_link
Songwe,Mbozi District council,https://drive.google.com/file/d/1hOrxFV-pF3mSDek3W4EIAf8ZgAGxrZXM/view?usp=drive_link
Songwe,Momba District council,https://drive.google.com/file/d/11NwCjOrldTP-ODcIkmv73oZDuVK8M2DM/view?usp=drive_link
Songwe,Songwe District council,https://drive.google.com/file/d/1RGpfWvZB5RdxdtmguXe3FwpHbM6lScaD/view?usp=drive_link
Songwe,Tunduma Town council,https://drive.google.com/file/d/1WAWdSMpeMEF1DXOdD6-2CDSSOcKdFvHO/view?usp=drive_link
Tabora,Igunga District council,https://drive.google.com/file/d/134dZoA075cYfo_kY52xFKDvSqOHzB64X/view?usp=drive_link
Tabora,Kaliua District council,https://drive.google.com/file/d/1ap_POchKN_jITTwZYNn7i1l1fmyeTMOg/view?usp=drive_link
Tabora,Nzega District council,https://drive.google.com/file/d/1Rp3MZBfIe8LuObxyUbyu_ua3a2M7REsF/view?usp=drive_link
Tabora,Nzega Town council,https://drive.google.com/file/d/1yVo7CEjlhD_SJDvKISuTjCrHRNDv72NK/view?usp=drive_link
Tabora,Sikonge District council,https://drive.google.com/file/d/1M--JnMVmRCceE_XtXZcP3kGpL9Y7WJmW/view?usp=drive_link
Tabora,Tabora Municipal council,https://drive.google.com/file/d/1xsUAg8VsF8tGisNmCRhSyQqdRHaHW9fP/view?usp=drive_link
Tabora,Tabora Uyui District council,https://drive.google.com/file/d/1d5cCliY_k5Dy-gQLdOKmbfrAZ3fSXQnh/view?usp=drive_link
Tabora,Urambo District council,https://drive.google.com/file/d/1ax_ECKjQGNfNN6nfSxHQdhufYZ-veY17/view?usp=drive_link
Tanga,Bumbuli District council,https://drive.google.com/file/d/1hG60OnH6P6tRrlnsA8bHKwN_yOYyg14x/view?usp=drive_link
Tanga,Handeni District council,https://drive.google.com/file/d/1l8rNhglfFUS-VU56VJqjn-LS88MV-rbt/view?usp=drive_link
Tanga,Handeni Town council,https://drive.google.com/file/d/1aPz-1Z7ElCF8HIBDuj3xo-YCxRN6vD9t/view?usp=drive_link
Tanga,Kilindi District council,https://drive.google.com/file/d/1CMCLdywT7_T4RwlIPezoIN23noHRWmCM/view?usp=drive_link
Tanga,Korogwe District council,https://drive.google.com/file/d/1czzQDdjuYLlFf1bNL77K88649WVOQXoR/view?usp=drive_link
Tanga,Korogwe Town council,https://drive.google.com/file/d/1sSaj7DwcPUrlga8b60OiwKflk7AMaSWY/view?usp=drive_link
Tanga,Lushoto District council,https://drive.google.com/file/d/1PyFlW9-LqpnjD8IDK5gbwU8SoqLwqrLw/view?usp=drive_link
Tanga,Mkinga District council,https://drive.google.com/file/d/1SlWXz2zz69IeNnslunnORNGvB33bNQhi/view?usp=drive_link
Tanga,Muheza District council,https://drive.google.com/file/d/1Bz_9dJn7dsHmp7rzN1bxtJQRjzeR5gW9/view?usp=drive_link
Tanga,Pangani District council,https://drive.google.com/file/d/1ee7qkswaIYb0dWLQI8mAsM3dprIfIFWD/view?usp=drive_link
Tanga,Tanga City Council,https://drive.google.com/file/d/1iIqry9PpgSvXFP9lgY93bIqDpu5gOYvY/view?usp=drive_link
